raw_user_id,user_idx
0,0
3,1
6,2
9,3
11,4
13,5
14,6
17,7
19,8
21,9
25,10
31,11
32,12
33,13
36,14
46,15
50,16
52,17
55,18
57,19
63,20
65,21
67,22
68,23
69,24
73,25
81,26
86,27
89,28
92,29
95,30
96,31
99,32
103,33
105,34
107,35
113,36
114,37
115,38
123,39
129,40
130,41
133,42
134,43
137,44
139,45
143,46
146,47
150,48
151,49
159,50
160,51
172,52
174,53
184,54
193,55
195,56
204,57
206,58
207,59
208,60
212,61
215,62
218,63
222,64
225,65
230,66
231,67
247,68
249,69
254,70
259,71
260,72
262,73
266,74
267,75
269,76
272,77
278,78
282,79
283,80
285,81
287,82
293,83
299,84
302,85
306,86
309,87
312,88
313,89
315,90
316,91
317,92
319,93
324,94
325,95
344,96
347,97
353,98
356,99
361,100
362,101
366,102
368,103
370,104
380,105
383,106
384,107
386,108
389,109
399,110
402,111
410,112
413,113
414,114
415,115
416,116
428,117
429,118
431,119
436,120
443,121
446,122
452,123
454,124
456,125
462,126
470,127
475,128
476,129
480,130
485,131
490,132
494,133
496,134
500,135
502,136
513,137
518,138
520,139
531,140
549,141
550,142
554,143
556,144
560,145
561,146
567,147
568,148
570,149
572,150
573,151
575,152
576,153
582,154
586,155
591,156
594,157
598,158
600,159
602,160
603,161
605,162
606,163
607,164
609,165
617,166
618,167
620,168
621,169
624,170
630,171
640,172
643,173
644,174
654,175
658,176
659,177
660,178
663,179
665,180
666,181
667,182
672,183
675,184
679,185
680,186
689,187
691,188
692,189
693,190
697,191
713,192
719,193
722,194
726,195
729,196
731,197
733,198
739,199
740,200
746,201
747,202
755,203
757,204
759,205
761,206
763,207
764,208
767,209
774,210
781,211
782,212
784,213
785,214
787,215
798,216
799,217
800,218
804,219
810,220
811,221
812,222
815,223
817,224
818,225
824,226
825,227
827,228
838,229
841,230
846,231
847,232
849,233
850,234
851,235
858,236
864,237
865,238
869,239
870,240
872,241
874,242
875,243
880,244
883,245
887,246
889,247
892,248
901,249
902,250
904,251
910,252
912,253
913,254
914,255
920,256
