u,v,weight
15,301,0.01657407
15,302,0.01657407
15,303,0.01657407
15,304,0.017579079
15,305,0.03731717
15,306,0.017579079
15,307,0.017579079
15,308,0.018609654
15,309,0.018609654
15,310,0.018609654
15,311,0.018609654
15,312,0.018609654
15,313,0.018609654
15,314,0.018609654
15,315,0.018609654
15,316,0.019738095
15,317,0.019738095
16,130,0.015186078
16,212,0.019072797
16,236,0.014317879
16,237,0.04110211
16,319,0.021133972
16,320,0.009042566
16,321,0.009042566
16,322,0.009590884
16,323,0.009590884
16,324,0.009590884
16,325,0.009590884
16,326,0.009590884
16,327,0.021574955
16,328,0.01015315
16,329,0.01015315
16,330,0.01015315
16,331,0.01015315
16,332,0.01015315
16,333,0.0203063
16,334,0.01076881
16,335,0.01076881
16,336,0.027437225
16,337,0.011421804
16,338,0.028408358
16,339,0.011421804
16,340,0.044264037
16,341,0.03998573
16,342,0.0120914085
16,343,0.012824601
16,344,0.012824601
16,345,0.012824601
16,346,0.012824601
16,347,0.013499316
16,348,0.013499316
16,349,0.013499316
16,350,0.013576442
16,351,0.014317879
16,352,0.03230027
16,353,0.030333301
16,354,0.015186078
16,355,0.015186078
16,356,0.03316847
16,357,0.01601542
16,358,0.01601542
16,359,0.01601542
16,360,0.01601542
16,361,0.01601542
16,362,0.01601542
16,363,0.01601542
16,364,0.01601542
16,365,0.016986553
16,366,0.016986553
16,367,0.016986553
16,368,0.017982392
16,369,0.017982392
16,370,0.017982392
16,371,0.017982392
16,372,0.017982392
16,373,0.019072797
17,376,0.049291845
17,377,0.049291845
17,378,0.052280776
17,379,0.052280776
17,380,0.055345736
17,381,0.055345736
17,382,0.055345736
17,383,0.055345736
17,384,0.058701765
17,385,0.058701765
17,386,0.06214316
17,387,0.06214316
17,388,0.06214316
17,389,0.06591136
17,390,0.06591136
17,391,0.06990805
17,392,0.06990805
18,60,0.037494868
18,222,0.019469049
18,232,0.016348151
18,354,0.015413519
18,395,0.009642531
18,396,0.009642531
18,397,0.009642531
18,398,0.010207825
18,399,0.010207825
18,400,0.010207825
18,401,0.010207825
18,402,0.010207825
18,403,0.010826802
18,404,0.010826802
18,405,0.010826802
18,406,0.010826802
18,407,0.011461524
18,408,0.011461524
18,409,0.011461524
18,410,0.011461524
18,411,0.011461524
18,412,0.012202781
18,413,0.012202781
18,414,0.012202781
18,415,0.012893661
18,416,0.012893661
18,417,0.012893661
18,418,0.013727538
18,419,0.013727538
18,420,0.013727538
18,421,0.014559939
18,422,0.039104935
18,423,0.014559939
18,424,0.014559939
18,425,0.015413519
18,426,0.015413519
18,427,0.015413519
18,428,0.016348151
18,429,0.016348151
18,430,0.017306566
18,431,0.017306566
18,432,0.017306566
18,433,0.017306566
18,434,0.017306566
18,435,0.018355992
18,436,0.018355992
18,437,0.018355992
18,438,0.019469049
18,439,0.019469049
18,440,0.020610426
18,441,0.020610426
18,442,0.020610426
18,443,0.021860188
18,444,0.021860188
18,445,0.021860188
18,446,0.023141745
18,447,0.023141745
18,448,0.023141745
18,449,0.024544997
18,450,0.024544997
18,451,0.026033344
19,453,0.3333333
19,454,0.3333333
19,455,0.3333333
20,38,0.010299891
20,39,0.001451113
